jrk_template,Phylum,Class,Order,Family,GENUS,COMMENT on genus,primary_lifestyle,Secondary_lifestyle,Comment_on_lifestyle_template,Endophytic_interaction_capability_template,Plant_pathogenic_capacity_template,Decay_substrate_template,Decay_type_template,Aquatic_habitat_template,Animal_biotrophic_capacity_template,Specific_hosts,Growth_form_template,Fruitbody_type_template,Hymenium_type_template,Ectomycorrhiza_exploration_type_template,Ectomycorrhiza_lineage_template,primary_photobiont,secondary_photobiont
jrk11009,Ascomycota,Dothideomycetes,Asterinales,Asterinaceae,Pycnocarpon,,epiphyte,litter_saprotroph,,foliar_endophyte,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"thyrothecium_(tiny_flattened_disc,_aperture_in_the_middle)",closed,,,,
jrk11010,Ascomycota,Dothideomycetes,Asterinales,Neobueliellaceae,Neobueliella,,lichen_parasite,,,,,,,non-aquatic,,,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth,,,,
jrk11028,Ascomycota,Dothideomycetes,Muyocopronales,Muyocopronaceae,Neocochlearomyces,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,Chromolaena,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Anthodidymella,,wood_saprotroph,,,,,"wood,leaf/fruit/seed",,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Aquimassariosphaeria,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11044,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Neolindgomyces,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
jrk11061,Ascomycota,Dothideomycetes,Pleosporales,Longiostiolaceae,Crassiperidium,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Aquihelicascus,,wood_saprotroph,,,,,wood,,freshwater,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11049,Ascomycota,Dothideomycetes,Pleosporales,Parabambusicolaceae,Paratrimmatostroma,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Arezzomyces,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Dlhawksworthia,,wood_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11053,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Hydeomyces,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11057,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Piniphoma,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11059,Ascomycota,Dothideomycetes,Pleosporales,Pleomonodictydaceae,Pleohelicoon,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,Fagus,filamentous_mycelium,,,,,,
jrk11060,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Typhicola,,litter_saprotroph,,,,,leaf/fruit/seed,,,,Typha,filamentous_mycelium,,,,,,
jrk11063,Ascomycota,Dothideomycetes,Pleosporales,Shiraiaceae,Rubroshiraia,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,non-aquatic,,bamboo,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Pleosporales,Sulcatisporaceae,Anthosulcatispora,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11067,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Liua,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11069,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,Discotubeufia,,litter_saprotroph,,,,,leaf/fruit/seed,,,,Brownea,filamentous_mycelium,,,,,,
,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Acantharia,,litter_saprotroph,,,,,leaf/fruit/seed,,non-aquatic,,,filamentous_mycelium,,,,,,
,Ascomycota,Leotiomycetes,Leotiomycetes order incertae sedis,Leotiomycetes family incertae sedis,Clavidisculum,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed,,,,
jrk11121,Ascomycota,Sordariomycetes,Amphisphaeriales,Sporocadaceae,Heterotruncatella,,plant_pathogen,,,,leaf/fruit/seed_pathogen,,,,,,filamentous_mycelium,,,,,,
jrk11128,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriales family incertae sedis,Neoleptosporella,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11133,Ascomycota,Sordariomycetes,Delonicicolales,Delonicicolaceae,Furfurella,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,,,,,,
jrk11134,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Capillaureum,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,,,,,filamentous_mycelium,,,,,,
jrk11135,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Chrysomorbus,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,,,,,filamentous_mycelium,,,,,,
,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Eriocamporesia,,plant_pathogen,wood_saprotroph,,,wood_pathogen,wood,,,,,filamentous_mycelium,,,,,,
jrk11140,Ascomycota,Sordariomycetes,Diaporthales,Neomelanconiellaceae,Neomelanconiella,,plant_pathogen,litter_saprotroph,,,leaf/fruit/seed_pathogen,leaf/fruit/seed,,,,Combretum,filamentous_mycelium,,,,,,
jrk11177,Ascomycota,Sordariomycetes,Myrmecridiales,Myrmecridiaceae,Neomyrmecridium,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
jrk11178,Ascomycota,Sordariomycetes,Myrmecridiales,Xenodactylariaceae,Xenodactylaria,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
jrk11185,Ascomycota,Sordariomycetes,Xenospadicoidales,Xenospadicoidaceae,Pseudodiplococcium,,litter_saprotroph,,,,,leaf/fruit/seed,,,,,filamentous_mycelium,,,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Adustochaete,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,hydnoid,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Metulochaete,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,hydnoid,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Proterochaete,,wood_saprotroph,,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,other,,,,
,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Psilochaete,,wood_saprotroph,,,,,wood,,,,,filamentous_mycelium,tremelloid,smooth,,,,
,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales family incertae sedis,Pekloderma,synonym of Kurtia,wood_saprotroph,ericoid_mycorrhizal,,,,wood,,non-aquatic,,,filamentous_mycelium,corticioid,smooth,,,,
